system:index,elevation,mean_wind_speed,open_land,slope,suitable,wind_variability,.geo
0,125,1.989330204935546,0,0.1764113008975982,0,1.068192296903658,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,300,1.9958530707866595,1,0.8573378324508667,0,1.009434931686851,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,115,2.0255595874405965,1,0.1701492816209793,1,1.0038241369000604,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,181,1.93059480085746,0,0.4240315556526184,0,1.089874498003912,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,277,0.424513132550473,0,0.6901378035545349,0,0.2185266559926506,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1295,0.8866194415176893,0,4.456572532653809,0,0.4532179026400169,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,147,2.671199950905012,1,0.3559038341045379,1,1.4216854341052816,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,230,1.9081416166969367,1,0.2601307332515716,0,0.9999233914680258,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,105,2.3751925030801093,0,0.1868650913238525,0,1.1342658425344183,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,557,2.262707373106334,0,0.8285729289054871,0,1.2125403041504406,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,297,1.80747792158444,1,0.872924268245697,0,1.0303626374749932,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,368,1.5999802373158851,0,2.4304933547973637,0,0.6918957457357058,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,362,3.063213650933054,1,0.248214766383171,2,1.5922468361745945,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,11,3.250397918035241,0,0.2730266749858856,0,1.2632219777726683,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,9,3.696512685358357,0,0.1952693462371826,0,1.483320502572696,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,323,1.8448264969024035,1,0.5255231857299805,0,1.073382440510615,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,48,2.372773015873868,1,0.1578301936388015,1,1.168433747457306,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,219,2.887842457159765,0,0.3647397458553314,0,1.6146012371254594,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,68,2.4574455236497936,1,0.1504334211349487,1,1.1712791914940872,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,374,1.5479069531971876,0,2.831970453262329,0,0.8270509858584416,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,464,2.275583103503933,1,0.3463444113731384,1,1.2147005913762654,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,66,2.010569076685928,0,0.1217657253146171,0,0.9398902390791468,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,3.7801756705438,1,0.0,2,1.2412172756980309,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,50,2.4820165565990746,1,0.0413687452673912,1,1.1770125307684445,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,17,2.570872964830133,1,0.1790580302476883,1,1.0854037298061996,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,136,1.7179319204005972,0,0.0883362367749214,0,0.9860838006042116,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,176,1.344615355995886,1,0.2753949761390686,0,0.7769218427403821,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,8,3.2011346637161044,0,0.0413924306631088,0,1.2867056208110037,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,113,2.3751925030801093,0,0.2862769663333893,0,1.1342658425344183,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,62,2.409775922076211,1,0.2509152889251709,1,1.1356661307112317,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,558,1.1117906357222478,0,6.736457824707031,0,0.6396632229454594,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,154,1.3861983624674004,1,0.2913289666175842,0,0.8462344102296303,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,136,2.086271675086428,1,0.3568812310695648,1,1.171984507647336,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,64,2.4940483300251106,0,0.06504837423563,0,1.2386088857289692,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,158,1.7901540430231635,0,0.2713596224784851,0,0.899874145093655,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,173,1.2395729616897946,0,0.0828176885843277,0,0.6058636528788668,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,35,1.9106465980127048,1,0.1190890595316886,0,0.9286425818663774,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,77,2.404776655621608,1,0.2418519854545593,1,1.2006613426125037,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,6,3.31791331495791,1,0.0655596330761909,2,1.5321868244882422,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,117,1.6105647609203797,1,0.1952460706233978,0,0.7102347575112434,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,66,2.4940483300251106,1,0.147895872592926,1,1.2386088857289692,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,439,1.2156931564914486,1,2.909339904785156,0,0.6129933176941377,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,866,2.381053709137751,1,6.968434810638428,1,1.1979268573539414,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,383,0.590388433363468,0,12.36350154876709,0,0.3109971947518116,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,164,1.7201416414556538,1,0.1054677292704582,0,0.7339289597706087,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,208,2.0201567637900766,0,0.1063954681158065,0,1.1302002016272803,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,320,2.0533620812852758,0,0.248354434967041,0,1.2033082535085842,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,259,1.3282238294779272,1,0.1710863709449768,0,0.6030637432339563,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,341,1.3610831265959618,1,3.955130100250244,0,0.7311885229780462,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,43,2.0770468859749043,1,0.0289840884506702,1,1.1482930706520855,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,1287,0.7222722287716908,0,3.123098611831665,0,0.3632968141791968,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,115,1.6862434511208249,0,0.2353876084089279,0,1.047083654118848,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,84,1.8238881767620645,0,0.2392314076423645,0,1.09713250309807,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,74,2.008985555141936,0,0.4587573707103729,0,0.923015321995981,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,135,2.257675416646365,0,0.1505212485790252,0,1.2849880021561613,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,13,3.727250890980716,1,0.041263710707426,2,1.662407314695008,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,43,2.1086193444485715,1,0.2393403947353363,1,0.981783923139442,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,376,1.4615545740439078,1,0.289838433265686,0,0.7837795532167808,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,115,2.192453244832324,1,0.3829319775104522,1,1.0480655895478093,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,165,1.8093895401160032,1,0.2863786220550537,0,0.9841623509293064,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,255,2.339747726911436,0,2.7635746002197266,0,1.1804976503169164,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,491,1.4472466380357785,0,2.533583402633667,0,0.7843494939631143,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,125,2.308899777242803,1,0.2693724632263183,1,1.0669823166313734,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,202,2.339747726911436,1,0.3307434618473053,1,1.1804976503169164,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,20,2.3098809182319866,1,0.1875660717487335,1,0.9144714779010386,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,231,1.581695047081311,0,1.5170936584472656,0,0.7108086032618779,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,159,2.1378838878486865,1,0.3570791780948639,1,1.1399050846894918,"{""type"":""MultiPoint"",""coordinates"":[]}"
